,0
0, As Prepared for Delivery   Lt
1," Governor Hall-Long, Mister Speaker, Mister President Pro Temp, Members of the 151st General Assembly, Members of the Cabinet, Distinguished members of the Judiciary, and my fellow Delawareans:   Thank you for inviting me into the chamber today"
2, I wish we could have more people with us
3,  And thank you to those tuning in virtually
4,"   On January 23, 2020, I stood in this same spot to deliver the State of the State address"
5, The chamber was packed
6, The word “coronavirus” meant nothing to most of us
7, We were looking forward to a bright year ahead
8,"   Our plans did not include a global pandemic, I can tell you"
9,"  So while we canceled our plans and turned our attention to beating this pandemic, so too did the people of Delaware"
10,   These last two years have brought unprecedented challenges for every Delaware family
11,   Many have lost loved ones
12, Others lost their business
13, Our children missed important time in classrooms
14," We missed sports games, graduations, weddings, and funerals"
15, Every one of us has experienced some type of loss during this pandemic
16,"   If nothing else, we all have that in common"
17,"   And as we’ve learned the hard way over the past few weeks, we aren’t through it yet"
18,  More than 300 members of the Delaware National Guard are at work right now helping take pressure off our hospitals
19, And getting Delawareans tested and vaccinated
20,"   I want to thank General Berry, our Guardsmen and women, and all our healthcare workers, for your incredible efforts"
21,  Please help me thank these public servants
22,  I also want to thank Dr
23, Karyl Rattay and her entire public health team for their hard work and resilience
24,"    And I want to recognize DEMA Director AJ Schall, his team and all our emergency personnel across our state for their great work"
25,"   1  As Prepared for Delivery   Over the last year, Director Schall, Dr"
26, Rattay and their teams helped deliver more than 1
27,6 million vaccines to Delawareans
28,  Our Lieutenant Governor was instrumental in those efforts
29," She rallied communities, worked vaccine sites, and went out into neighborhoods, making sure people in every corner of our state had access to the vaccines"
30,"   And community leaders stepped up big – people like Reverend Rita Paige, Bernice Edwards, Darryl Chambers and his team, and Maria Matos"
31,"   Because of the efforts of so many, we were one of only 20 states to meet President Biden’s goal – 70 percent of adults vaccinated by July 4"
32,   This work saved lives
33,   We provided more than $400 million in support to small businesses
34," We supported child care providers, who stayed on the job throughout this crisis"
35,"   And thanks to the hard work of educators, we got our children back in classrooms"
36,"   That’s why, despite the trying times – and because of the ongoing sacrifice of so many Delawareans – I’m optimistic today"
37,"   Over the past two years, we’ve seen clearly that the people of our state are resilient"
38, They’re innovative
39, They’re kind
40, They never give up
41, They’re focused on the present – but hopeful for the future
42,   Because of the incredible strength of the people of our state
43, And because of their resilience
44, I can tell you confidently today that the state of our state is strong
45,   And we are eager for what lies ahead
46,"  As we recover from this pandemic, it’s clear that expanding economic opportunity for all Delaware families must be job number one"
47,   We can all agree on this: a good job solves a lot of problems
48,  So let’s start there
49,"  On my first day in office in 2017, we partnered with the private sector to strengthen our economic development efforts"
50,"    2  As Prepared for Delivery   Working with all of you, we created the Delaware Prosperity Partnership"
51,   And that idea has paid off
52,"   Despite the pandemic, Delaware employers have added nearly 20,000 new jobs"
53, The DPP helped them retain thousands more
54,   Delaware’s economy has rebounded from the worst effects of COVID-19 more quickly than we could’ve imagined
55,"   Our unemployment rate is now just above 5 percent, down from a high of 13"
56,4 percent in April 2020
57,"   Just last month, financial technology startup Investor Cash Management – or ICM – announced that it would move its headquarters from Chicago to downtown Wilmington"
58,  ICM plans to invest $15 million in its new headquarters and create almost 400 new jobs
59,   Prelude Therapeutics – an innovative company focused on new and effective cancer treatments - has just signed a 13-year lease for a new headquarters at DuPont’s old Chestnut Run campus
60,  The company grew out of the Delaware Innovation Space – our partnership with the University of Delaware and DuPont at the Experimental Station to support startup tech companies
61,   Incyte is another growing company with roots in the Delaware Innovation Space
62," Their new building in Wilmington, which is almost complete, will accommodate 500 employees"
63,   We’re building Delaware’s economy for the future
64,   I especially want to thank members of the General Assembly who sit on the board of the DPP:   •  Senator Jack Walsh •  Senator Brian Pettyjohn •  Representative Bill Bush •  And Representative Lyndon Yearick  We appreciate their participation and feedback
65,"   As they can tell you, these new jobs are not just confined to the northern part of our state"
66,   Baltimore-based textile manufacturer Avalon Industries is relocating and expanding in Dover
67,"    3  As Prepared for Delivery   Miller Metal, a longtime leader in Delaware manufacturing, is adding jobs in Bridgeville"
68,   And WuXi STA Pharmaceuticals is preparing to add 500 jobs and a half a billion dollars in capital investment at a massive new manufacturing facility in Middletown
69,   We also have some fun news on the tourism front
70,"   In March, the Atlantic 10 Conference will bring its women’s basketball Championship to the Chase Fieldhouse in Wilmington"
71,"     And in August, Wilmington Country Club will host the PGA and thousands of fans for the BMW Championship"
72,   Delaware is on the map – and the future is bright
73,"   And in terms of national and international attention, it certainly doesn’t hurt to be home of the President of the United States"
74,   Support from the federal government – and our President Joe Biden – will help us build on this economic work in communities up and down our state
75,"   Using federal stimulus dollars, we’ll build and upgrade libraries in every county"
76,   We’ll help nonprofits modernize their buildings so they can better serve the people of our state
77,    We’ll significantly increase resources for our gun violence prevention program in Wilmington and Dover
78,"   Working with many of you and House Majority Leader Longhurst in particular, we’ll use federal money to improve our state’s mental health services"
79,  We’ll supercharge our state’s largest infrastructure plan
80,"   We’ll repair roads and bridges, invest even more in public transit, and build out electric vehicle infrastructure"
81, So important for the future
82,"  That will make commutes shorter, improve safety on our roads, and prepare Delaware for the future"
83,"   We’re also investing in our environment, and we have a new Climate Action Plan to address the effects of climate change"
84, Not just because it’s the right thing to do
85,    4  As Prepared for Delivery   But because we know that vibrant outdoor spaces help attract new workers and families
86, I especially want to thank Senator Hansen for her work to protect our natural environment
87,   Delaware State Parks continue to be among the best in the country
88,   And you don’t have to take my word for it
89,"  In November, our Parks again received the National Gold Medal for Excellence"
90,   Delaware is one of only two states to win this award twice
91,    Everyone should get out and enjoy our parks
92,"  When I release my budget next week, we’ll set aside another $30 million for open space and farmland preservation"
93, And Delaware has one of the most robust programs in the country
94,"  Through a years-long partnership with Majority Leaders Longhurst and Townsend and your good work, we created the Clean Water Trust Fund"
95,"   With federal support, we’ll be investing more than $400 million in Delaware’s clean water infrastructure"
96, And we’re focused on underserved communities
97, This is an unprecedented opportunity to fix longstanding problems
98,"    We all need to do our part to keep our natural areas clean, and free of trash"
99, Just look around
100, It’s a mess
101,   That’s why we’re continuing our efforts to Keep DE Litter Free
102, That’s our slogan
103, I am determined to help clean up our highways and byways
104,   All these investments will strengthen our economy for the future
105,"   We know that nationally, and in Delaware, small businesses drive job creation"
106,"   That’s why, for the first time ever, we put a hyper focus on small business inside state government"
107,   That includes supporting innovative new tech companies and mom-and-pop mainstream businesses
108,"   Since 2019, our EDGE Grants program has supported more than 35 small businesses"
109, These businesses are creating jobs and poised for growth
110,"    5  As Prepared for Delivery   At the same time, we invested more than $400 million in pandemic relief dollars to shore up businesses hardest hit by the pandemic – like bars and restaurants, museums, child care centers, and hotels"
111,  Business owners tell me this helped them keep their doors open
112,   Supporting businesses also means supporting the employees who work there
113,   We know workers are not just looking for a job
114," They’re looking for a way of life, especially as they start a young family"
115,   They believe that good jobs should also support their families when they need that support the most
116,  And I agree
117,  Senator McBride has introduced legislation that would build on the work we’ve done for state employees and extend paid leave into the private sector
118,  It’s the right thing to do - and it will make Delaware more attractive for younger workers
119,  I’d like to thank Senator McBride and Representative Heffernan for their leadership on this important issue
120,"  With the leadership of Senator Walsh, we also set Delaware on course to a $15 minimum wage"
121,   We are taking the lead in state government
122," Two years ago, we made a commitment to make sure every state employee makes at least $15 an hour"
123,"   Next week, when I release my budget, we’ll talk more about how we’re supporting state employees on the lower end of the wage scale"
124,"   Going forward, building a workforce ready for jobs of the future may be our biggest challenge – here in Delaware and across the nation"
125,"   Delaware employers have more than 33,000 open positions right now"
126," But only 26,000 Delawareans are actively looking for work"
127,"   Across the country, there are 10"
128,"5 million open positions, but only 6"
129,8 million applicants
130,  That’s why we’re investing more than $50 million in federal stimulus funds to strengthen our workforce training programs
131,  6  As Prepared for Delivery    We’re also expanding Pathways programs in public middle schools and high schools
132,"  By next year, these public-private investments will expand the Pathways program to reach more than 6,000 middle school students and 80 percent of high school students"
133,"  That will help students like Imani Wulff-Cochrane, whom I met recently"
134, Imani is a senior at St
135, George’s Tech
136," She spends a third of her day in an early childhood center, learning on the job"
137,  Imani’s focus on work-based learning will prepare her to enter the workforce as soon as she graduates from high school
138,"    Ultimately, I believe that expanding economic opportunity for everyone must start in the classroom"
139, Over the past five years – working with all of you – we have made significant new investments in public education
140,"   From Wilmington to Dover to Georgetown, we’re investing more than $300 million in the next two years for new school construction"
141,"   I want to thank members of the Bond Bill committee – and your chairs, Senator Poore and Representative Heffernan – for your support and leadership"
142,  We know the pandemic put a strain on every part of our education system – from school bus drivers to classroom teachers to school nurses
143," Please join me in thanking our educators, and everyone who works in our schools for their incredible efforts"
144,"    Amidst all these challenges, last year, the General Assembly made permanent new resources to support low-income students and English learners in public schools"
145,"    Thanks to Representative Williams and Senator Poore, we finally invested in K-3 basic special education"
146,  And it’s making a real difference in classrooms
147,"   One thing that the past two years have taught me is that there is value in acknowledging, and celebrating, the complexity of our state"
148, And our complex and often difficult history
149," That’s why I was proud to sign Representative Dorsey Walker’s bill into law, ensuring that a robust, accurate, Black history curriculum is taught in Delaware public schools"
150,   I was also fortunate to join Black clergy and community leaders in visiting the newly discovered African Burial Ground at the John Dickinson Plantation
151," And to partner with the Department of  7  As Prepared for Delivery   State, the Office of Statewide Equity Initiatives, the Delaware Heritage Commission, and Delaware State University to tell the public the real history of that site"
152,"  Over the past few months, I’ve been focused on making sure we finally deliver for the children of the City of Wilmington"
153,"   Despite the best efforts of teachers and administrators, children in our largest city are not getting the education they need to be successful in life"
154,  We can do better – and we must
155, These children and their families deserve our best efforts
156,"   Over the last month, I’ve knocked doors and talked directly to parents and students"
157,   I know they’re eager for change
158, They want better
159,"  I’ve talked to, and heard from, educators in our City schools"
160,  The idea of the Wilmington Learning Collaborative is based on models we’ve seen be successful in other parts of the country
161,"   We’re asking districts that serve our students in the city – Red Clay, Brandywine, and Christina – to work together on behalf of these children"
162,   This model will place more decision-making in the hands of educators and local communities
163," And it’ll offer more support for students, families, and importantly the teachers in the classroom"
164,  It will place a hyper focus on these students and the challenges they face
165,"  It doesn’t solve every problem, to be sure"
166,   We will continue to work with Senator Lockman and the Redding Consortium to focus on issues around redistricting and the high school challenge for city students
167, These are certainly important issues
168,   But we can’t let those issues hold us up
169,   We can’t afford to wait
170, And we can’t afford to keep doing the same thing and expecting a different result
171,   Please join me in finally doing right by these children
172,    8  As Prepared for Delivery   We know that a good education is not the only thing children and families need in order to be successful
173,   State Housing Director Eugene Young and his team have been working hard to address a housing crisis that has been made worse by the pandemic
174,"   Using federal funds, the State Housing Authority is partnering with the private sector to rebuild the Riverside community in northeast Wilmington"
175, It’s a very exciting project
176,  The Housing Authority has made available $50 million in rental and mortgage assistance to Delawareans struggling to get by across our state
177,"   And over the next three years, we will invest federal dollars to revitalize and develop more than 1,200 affordable housing units in Kent and Sussex counties"
178, That’s in addition to expanding down payment and settlement assistance for homebuyers
179,   These investments will go a long way to support Delawareans who need it most – and strengthen our economy at the same time
