,0
0,"Governor Asa HutchinsonState of the State AddressTo the 93rd General AssemblyFebruary 14, 2022Arkansas House of Representatives Chamber12:45 p"
1,m
2,"Thank you, Speaker Shepherd; Senate Pro Tem Hickey; Lt"
3, Gov
4, Griffin; Mr
5, Chief Justice Kempand Justices of the Supreme Court; and Members of the General Assembly
6,It is an honor to stand before the joint chambers today for my 8th and final State of the Statespeech
7,For that reason please allow me a moment of personal reflection
8,The opportunity to serve and lead the state I love has been the highest privilege of my publiccareer
9,"As you know, I was raised on a farm on the Spavinaw Creek near Gravette"
10, I was the youngest ofsix children born to John Malcolm and Coral Hutchinson
11," They were married in the GreatDepression and understood tough times; they did not have college degrees but they valuedlearning and encouraged me to pursue my dreams and, most importantly, to have faith and trustin our Creator who reigns sovereign in the affairs of man"
12,But the most important person in my life is the girl I was so crazy about that I hitchhiked fromFayetteville to Memphis on the weekends to see her
13, Susan has celebrated every victory with meand walked with me through every trial
14," Let me introduce my sweetheart of 48 years and theFirst Lady, Susan Hutchinson"
15,"Susan has devoted time, energy, and her voice to helping the abused and neglected children inour state"
16,"My family is important to me, and I am grateful, my son and namesake is here, Asa HutchinsonIII"
17,"1Today, I am also grateful for the partnership of the General Assembly"
18," Every once in a while wedisagree, but all in all, we have worked together and accomplished a great deal for the people ofour state"
19, Our work together has not been for the weak of heart but it has been transformative andwill impact generations to come
20,"Seven years ago, I took office with the desire to improve the quality of life in Arkansas byimproving education, increasing our manufacturing, preserving our outdoor heritage, andsupporting our farmers"
21,"I wanted to be the jobs governor, and through the work of Mike Preston and the ArkansasEconomic Development Commission and our many partners, we’ve had historic success"
22,We now have the lowest unemployment ever at 3
23,1% and a record number of Arkansansworking
24,"We have signed 556 incentive agreements that created 25,000 jobs"
25,"81,000 more people are employed now than when I took office in 2015"
26,"On my first day in office, I called the CEOs of six companies"
27, One of those companies was SigSauer
28,"A year later, they opened a facility in Jacksonville employing Arkansans and continue to grow"
29,The long list of companies that have expanded or moved to Arkansas represents billions ofdollars of investment
30,This is a sampling of the companies that have moved here or expanded- Cynergy Cargo in Crossett
31,- Nestle in Jonesboro
32,- Aerojet Rocketdyne in Camden- Trex in Little Rock
33,- EnviroTech in Helena-West Helena
34,- Vexus Boats in Flippin
35,2- Canoo in Bentonville
36,- Resolute Forest Products in El Dorado and Glenwood
37,- West Rock Coffee in Conway
38,- Riceland in Stuttgart
39,- Mars Petcare in Fort Smith
40,"- Drax in Russellville,- Tractor Supply in MaumelleLast week we broke ground on the largest economic development project in state history"
41, TheU
42,S
43, Steel announcement on the construction of a new steel mill in Osceola
44, This is anothercalling card for our state
45,It means:- A $3 billion investment with more than 900 new high-paying jobs;- Mississippi County will be the Number 1 steel-producing county in the nation
46,- And this would not have been possible without the support of the General Assembly in passinglegislation necessary to win the project
47,  Thank you
48,But there is more
49," In Arkansas, we support our military bases and their missions"
50, That is why weworked so hard to bring in the F-35 pilot training mission to Ebbing Air National Guard Base inFort Smith
51, This will be an economic boon for Western Arkansas for decades to come
52,But another reason that we have been successful in job creation is that we made it a priority tocut taxes
53,When I came into office I promised to cut middle-income taxes by $100 million
54, People said itcouldn’t be done
55," Well, we did it in the first year"
56, Then we went on to provide tax relief to everyArkansan
57, We have lowered the individual income tax rate from 7
58,0% when I was elected to5
59,5% this year
60, And there is more to come
61,3These reductions return money from the government coffers to the hard-working Arkansans whoneed this money to pay for the increasing costs of providing for their family
62, They need fuel toget to work each day and tax cuts allow them to have more money in their pocket to invest orspend on the necessities of life
63,The cumulative total of these annual income tax reductions over the past seven years exceeds $1billion
64,"We did this while also giving teachers raises, increasing funding for education, and creating arecord $1"
65,2 billion reserve fund
66,"In addition, we saw the need for improved roads and highways in Arkansas, so we met thechallenge by doing the heavy lifting of passing the largest highway funding plan in history"
67,We saw the need of our foster children and we gave them HOPE
68,"We wanted a more efficient and responsive state government, so we transformed it from 42departments down to 15"
69," We have reduced the number of state employees by over 2,000 since2015"
70,We navigated our way through a pandemic and we kept our schools open because we knew ourchildren needed to be in the classroom
