,0
0,Full text version FULL TEXT: 2022 STATE OF THE STATE Governor Kevin Stitt Feb
1," 7, 2022 Mr"
2, Speaker
3, Mr
4, President Pro Tem
5, Lieutenant Governor Matt Pinnell
6, Members of my cabinet
7, Mr
8, Chief Justice of the Supreme Court
9, Mr
10, Presiding Judge of the Court of Criminal Appeals
11, Members of the 58th Legislature
12, Tribal leaders
13," My wonderful wife and partner, First Lady Sarah Stitt"
14, Thank you so much to my family for being here today
15,  It means a lot
16," And most importantly, my fellow Oklahomans"
17, I’m honored to stand before you today and begin my fourth year as your governor
18, It has been a great privilege to lead our state
19,  I am thankful to the citizens of Oklahoma and my heavenly Father for giving me this opportunity
20, Mr
21," Speaker, Mr"
22," Pro Tem, members of the House and Senate, last year, we showed Oklahomans what's possible when we work together"
23, We cut taxes for all Oklahomans
24, We made record investments in education and gave parents more choices
25, We grew our economy
26," We modernized our government, and we stood up to defend the rights of Oklahomans -- including protecting the lives of our unborn children! Today, I am proud to say we are well-positioned to continue our momentum toward becoming a Top Ten state"
27,  1 Full text version I want to praise my colleagues in the Legislature for being fiscally conservative and responsible with taxpayer dollars
28," In the face of criticism, we stayed the course"
29, We made smart decisions instead of going on a spending spree
30," It’s a different story in Washington, D"
31,C
32,", and so are the results"
33, Our national economy is struggling
34, Inflation is at a forty-year high
35, Gas and groceries are more expensive
36, Supply chain issues have made everything harder to find
37," But if you live in Oklahoma, it’s a different story"
38," While other states are shutting down their economies, we’ve never been more open for business"
39," In fact, 40,000 more Oklahomans have jobs today compared to when I took office"
40," As unemployment skyrocketed in some parts of the country, ours is down to just 2"
41,3%
42,"  That’s the lowest it’s been in our state’s history! Across the country, huge numbers of Americans are moving to states that value freedom and trust their citizens to make choices for themselves"
43, There has never been a bigger difference between a red state and a blue state
44, Freedom-loving Americans cannot escape liberal lockdown states fast enough
45," Since April 2020, more than 27,000 of them have moved to Oklahoma"
46," That includes Jonathan and Erica, who moved here from Seattle because they believe in freedom and personal responsibility"
47," Can you imagine leaving a place like Norman, Oklahoma for Southern California? I mean, who would do that? Oklahoma, I’m proud of the progress we’ve made in just three short years"
48," But today, the state of our state is at a crossroads"
49, We have a choice between two paths
50,  One path leads toward a Top Ten State
51,"  2 Full text version It’s a familiar road, and it’s paved with unity, fairness, and equal protection under the law"
52, The other path leads to a jigsaw puzzle of jurisdiction
53," From the beginning, I’ve sounded the alarm on the Supreme Court’s McGirt decision"
54," Because I knew then, and I know now, that even a narrow Supreme Court ruling can fundamentally change a state"
55, Oklahoma has been robbed of the authority to prosecute crimes
56," Put simply, McGirt jeopardizes justice"
57," Over the past year, we’ve done everything we can to protect law and order and limit the impacts of this decision"
58," Our broad coalition includes Attorney General John O’Connor; all 27 district attorneys across the state, especially Steve Kunzweiler in Tulsa County and Matt Ballard in Craig, Mayes and Rogers Counties; Police Chiefs like Wendell Franklin in Tulsa, the Oklahoma Sheriffs’ Association; the Oklahoma Farm Bureau; the Oklahoma Cattlemen’s Association; environmentalists; The Petroleum Alliance of Oklahoma, and city leaders"
59," Recently, we’ve won two major victories to protect law and order"
60," First, the Supreme Court agreed McGirt is not retroactive"
61, This means that convicted criminals stay in prison
62,  The Supreme Court also agreed to hear another case
63, A win in that case would let the state go back to enforcing law and order and protecting more crime victims in Eastern Oklahoma
64, That’s the way we’ve done it since 1907
65," The new rules put the federal government in charge, and it isn’t working"
66," In 2013, a 12-year-old boy named Billy Lord was riding his bike in Wagoner"
67, Richard Roth was driving drunk and hit Billy and killed him
68,  The state convicted Roth for Billy’s death and sentenced him to prison
69, But Mr
70," Roth is white, and since Billy was Cherokee, the guilty verdict was overturned"
71," The case can’t be retried in federal court, and Roth could go free from punishment without even so much as a traffic ticket on his record"
72, That’s not fair
73, And it’s not equal protection under the law
74," Billy’s mom, Pamela, is here today"
75,"  3 Full text version She told the court that while her son was a tribal member, he was also a citizen of the United States and the state of Oklahoma"
76, She said allowing the man who killed her son to walk free is an insult to Billy’s memory and an insult to justice
77," Pamela, I’m sorry for your loss"
78, I’m fighting for justice for Billy
79," Surely, we can all agree that no crime should go unpunished"
80, Billy deserves justice
81, All victims deserve justice
82," Oklahoma, here’s the deal"
83, This isn’t about winning and losing
84, This isn’t personal
85, It’s not Kevin Stitt versus the tribes
86," Instead, it’s about certainty"
87, It’s about law and order
88," It’s about fairness, equal protection under the law, and one set of rules"
89, We’re all Oklahomans
90, Let’s work together to solve this
91," With that, let me turn to our legislative agenda for this session"
92, We start this year with an incredible opportunity
93, Oklahomans have elected the largest supermajority in state history
94, We have a very clear mandate to enact strong conservative policies that protect liberty and defend against the Biden administration’s federal overreach! I challenge each of us to be bold
95, Let’s capitalize on the opportunity we have and make Oklahoma a Top Ten state
96," To reach our destination, we need a map to stay on course"
97," Our road to Top Ten has four checkpoints: Driving hope for all Oklahomans, protecting Oklahomans and our way of life, making Oklahoma the most business friendly state in the country and delivering taxpayers more for their money"
98, Let’s start with driving hope for all Oklahomans
99, Hope is not a wish or a feeling
100, It’s a proven science that can be measured and applied
101," More than 2,000 studies have shown that hope is the greatest predictor of success"
102," That applies to education, work, health, mental health, social relationships, family and trauma recovery"
103, Hope impacts everything that matters to us
104," I want to take a moment to recognize the First Lady, my wife, Sarah Stitt"
105,  4 Full text version She’s created the Sarah Stitt Hope Foundation to bring the science of hope to communities across Oklahoma
106," Over the next two years, we’re training every state employee how to apply the science of hope to their agencies"
107,"   Sarah, thank you so much for your hard work"
108, We can drive hope for all Oklahomans through education
109," Throughout my time as governor, I’ve committed to putting our students first"
110,"  Across the country, parents are waking up to the learning loss caused by closed classrooms"
111, They’re demanding better for their kids
112," I’m proud that Secretary of Education Ryan Walters and I have been fighting to put our students first and keep our schools open longer than anyone in the country! In Oklahoma, we listen to parents, because we know God gave kids to parents – not the government! We expanded the equal opportunity scholarship to provide more choices for low and middle-income families"
113, That helps students like Jonathan Wright
114, He’s a freshman at Oklahoma Bible Academy in Enid
115," When Jonathan was three years old, he was adopted out of foster care by a single mom named Lisa"
116, Jonathan has used the Equal Opportunity Scholarship to go to Oklahoma Bible for four years
117, His mom said the mentors and positive role models at his school have transformed his life
118, Jonathan and Lisa are here today
119," Would you please stand and be recognized? We provided record funding for all public schools, including charter and rural schools"
120," These initial investments were good first steps for Oklahoma’s education turnaround, but there’s much more to do"
121," Just 15% of Oklahoma high school graduates are ready for college in English, math, reading and science -- less than one out of five"
122, We can do better than 47th in the nation when it comes to our kids
123, We’ve tiptoed around the edges for far too long
124,  It’s clear the status quo isn’t working
125, We need to take bold steps
126," It will take courage, and it will take a desire to make a generational impact"
127," This is our moment! We know education is not one-size-fits-all, and I pledge to support any legislation that gives parents more school choice, because in Oklahoma, we need to fund students, not systems!  5 Full text version Pro Tem Treat filed a bill called the Oklahoma Empowerment Act"
128," It makes sure that money follows the student, and it would make us a national leader in school choice"
129," Let me be clear: Oklahoma has a lot of great schools, but the results don’t lie"
130," We need new ideas, more options, and higher standards for our kids"
131, This is just common sense
132,  We have a duty to make sure nothing stands in the way of an Oklahoma student achieving their full potential
133, There are roadblocks – literally
134, State law creates artificial barriers for school districts that don’t put our students first
135,   Our school transportation formula is outdated and broken
136, We desperately need to modernize it
137, Another roadblock in our current system keeps some of the best teachers out of the classroom
